<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.27	3342.50	3349.75	3285.09	3300.27	155520	0	28
2025.05.28	3301.00	3325.29	3276.57	3287.89	150293	0	30
2025.05.29	3286.98	3330.81	3245.31	3317.64	169149	0	30
2025.05.30	3317.51	3322.74	3271.57	3290.85	151883	0	26
2025.06.02	3298.40	3382.93	3295.86	3381.43	152849	0	30
2025.06.03	3384.07	3392.25	3332.93	3353.00	150604	0	26
2025.06.04	3353.10	3384.44	3343.55	3371.68	141579	0	30
2025.06.05	3374.24	3403.46	3339.24	3352.49	154031	0	30
2025.06.06	3353.50	3375.40	3306.89	3311.72	151955	0	26
2025.06.09	3311.98	3337.99	3293.36	3325.40	144781	0	30
2025.06.10	3324.62	3348.89	3301.74	3322.19	143709	0	30
2025.06.11	3323.28	3360.50	3315.36	3354.75	146907	0	30
2025.06.12	3357.52	3398.84	3338.52	3386.42	156966	0	30
2025.06.13	3385.18	3446.61	3379.52	3432.38	167399	0	26
2025.06.16	3451.68	3452.70	3382.64	3384.69	154385	0	30
2025.06.17	3385.19	3403.06	3365.99	3388.26	146722	0	30
2025.06.18	3390.24	3399.81	3362.40	3368.85	140253	0	30
2025.06.19	3369.94	3387.77	3347.41	3370.45	116934	0	30
2025.06.20	3368.78	3374.31	3340.16	3368.51	125763	0	26
2025.06.23	3391.19	3396.20	3346.89	3368.82	145303	0	30
2025.06.24	3367.67	3369.82	3295.26	3322.34	148091	0	30
2025.06.25	3324.59	3336.87	3311.77	3331.72	116631	0	30
2025.06.26	3334.36	3350.08	3309.79	3327.63	126661	0	29
2025.06.27	3326.96	3328.08	3255.62	3274.27	147243	0	26
2025.06.30	3271.55	3309.19	3248.12	3302.34	134065	0	31
2025.07.01	3303.93	3357.68	3302.19	3338.74	137242	0	31
2025.07.02	3338.84	3360.03	3327.60	3356.68	129248	0	35
2025.07.03	3357.42	3365.75	3311.38	3325.68	121923	0	35
2025.07.04	3326.82	3344.87	3323.39	3334.77	85411	0	35
2025.07.07	3333.49	3342.58	3296.26	3336.19	146821	0	26
2025.07.08	3338.26	3345.59	3286.87	3301.44	134175	0	26
2025.07.09	3302.19	3316.61	3282.51	3313.21	128834	0	26
2025.07.10	3314.19	3330.05	3309.90	3323.90	122060	0	26
2025.07.11	3323.41	3368.58	3321.60	3357.10	150138	0	26
2025.07.14	3363.97	3374.95	3340.89	3343.20	157848	0	26
2025.07.15	3344.20	3366.16	3320.00	3324.74	128708	0	26
2025.07.16	3324.20	3377.33	3319.42	3347.22	136020	0	26
2025.07.17	3347.49	3352.01	3309.70	3338.95	128401	0	26
2025.07.18	3341.00	3361.26	3331.79	3350.65	116976	0	26
2025.07.21	3349.38	3401.54	3344.82	3396.93	132170	0	26
2025.07.22	3396.39	3433.53	3383.26	3431.53	136380	0	26
2025.07.23	3432.62	3438.84	3381.22	3386.97	142499	0	26
2025.07.24	3387.99	3393.17	3351.20	3368.49	122053	0	26
2025.07.25	3368.88	3373.41	3324.79	3336.30	107840	0	26
2025.07.28	3317.03	3345.02	3301.57	3314.32	118074	0	26
2025.07.29	3314.66	3333.92	3307.54	3326.20	120340	0	26
2025.07.30	3326.70	3333.82	3268.02	3274.89	125415	0	26
2025.07.31	3275.31	3314.60	3273.79	3289.87	130824	0	26
2025.08.01	3289.90	3363.42	3281.36	3363.18	130322	0	26
2025.08.04	3363.89	3385.33	3345.07	3373.28	121392	0	26
2025.08.05	3374.74	3390.19	3349.97	3380.52	107949	0	26
2025.08.06	3380.21	3385.35	3358.21	3369.21	109817	0	26
2025.08.07	3368.05	3401.82	3365.13	3395.73	170334	0	26
2025.08.08	3404.26	3408.90	3377.25	3397.02	214293	0	26
2025.08.11	3397.62	3405.21	3341.18	3342.49	162813	0	26
2025.08.12	3343.67	3358.90	3330.87	3347.86	131155	0	26
2025.08.13	3347.42	3370.76	3342.53	3355.79	110224	0	26
2025.08.14	3357.06	3375.04	3329.64	3335.22	126559	0	26
2025.08.15	3337.19	3348.50	3332.03	3335.81	108156	0	26
2025.08.18	3336.15	3358.20	3323.40	3332.62	111385	0	26
2025.08.19	3332.80	3345.06	3314.69	3315.39	111385	0	26
2025.08.20	3315.81	3350.22	3311.33	3348.18	112154	0	26
2025.08.21	3350.47	3352.10	3325.13	3338.48	105409	0	26
2025.08.22	3338.50	3378.83	3321.23	3371.91	113136	0	26
2025.08.25	3370.52	3376.22	3359.83	3365.59	91535	0	26
2025.08.26	3365.73	3393.54	3351.34	3393.52	137021	0	26
2025.08.27	3392.78	3398.85	3373.80	3396.91	126534	0	26
2025.08.28	3398.97	3423.18	3384.61	3416.79	144151	0	26
2025.08.29	3417.63	3453.87	3404.16	3448.22	150056	0	26
2025.09.01	3449.01	3489.88	3437.14	3476.38	150330	0	26
2025.09.02	3477.68	3540.19	3470.08	3533.47	194292	0	26
2025.09.03	3533.32	3578.47	3526.36	3559.04	187961	0	26
2025.09.04	3560.62	3564.26	3511.48	3545.63	186038	0	26
2025.09.05	3546.17	3600.10	3539.81	3587.22	173384	0	26
2025.09.08	3581.27	3646.35	3578.53	3635.65	190138	0	26
2025.09.09	3635.55	3674.35	3625.59	3625.74	188046	0	26
2025.09.10	3619.90	3657.57	3618.89	3640.66	174416	0	26
2025.09.11	3642.09	3649.11	3612.84	3633.82	161619	0	26
2025.09.12	3633.42	3656.64	3630.57	3643.36	154499	0	26
2025.09.15	3642.45	3685.58	3626.70	3678.90	167722	0	26
2025.09.16	3679.43	3703.15	3674.70	3689.61	174471	0	26
2025.09.17	3689.51	3707.45	3646.12	3659.96	199230	0	26
2025.09.18	3660.05	3672.90	3627.58	3643.96	183941	0	26
2025.09.19	3643.26	3685.20	3631.97	3685.06	164893	0	26
2025.09.22	3685.92	3748.75	3683.70	3746.58	172005	0	26
2025.09.23	3746.18	3791.13	3737.00	3763.94	193694	0	26
2025.09.24	3765.70	3779.02	3717.35	3735.78	179906	0	26
2025.09.25	3736.77	3761.50	3721.67	3749.02	181426	0	26
2025.09.26	3749.81	3783.84	3734.60	3761.42	171246	0	26
2025.09.29	3758.81	3834.02	3756.35	3833.68	208370	0	26
2025.09.30	3833.86	3871.47	3792.98	3858.11	197310	0	26
2025.10.01	3858.97	3895.23	3853.16	3865.08	185010	0	26
2025.10.02	3865.93	3896.64	3819.10	3856.28	171801	0	26
2025.10.03	3855.14	3891.38	3837.93	3886.33	172304	0	26
2025.10.06	3887.51	3969.67	3883.91	3960.52	203013	0	26
