<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.27	4091.30	4115.87	4065.21	4076.39	108212	0	33
2026.07.28	4081.63	4081.66	4011.15	4028.36	109423	0	33
2026.07.29	4027.80	4116.23	3995.77	4066.04	116835	0	32
2026.07.30	4071.59	4120.03	4028.23	4103.47	125993	0	32
2026.07.31	4105.49	4111.47	4020.91	4046.49	105504	0	32
2026.08.03	4074.92	4079.48	4018.90	4055.09	104839	0	33
2026.08.04	4054.05	4105.82	4042.37	4077.14	99513	0	32
2026.08.05	4078.57	4267.58	4065.31	4246.91	113531	0	33
2026.08.06	4250.65	4304.03	4223.28	4240.41	114784	0	32
2026.08.07	4239.17	4371.52	4229.48	4341.30	115984	0	32
2026.08.10	4349.20	4395.16	4313.25	4390.32	107241	0	32
2026.08.11	4390.03	4435.07	4356.58	4368.02	112056	0	32
2026.08.12	4371.89	4440.83	4362.34	4408.32	108741	0	32
2026.08.13	4409.78	4449.43	4343.81	4350.92	111436	0	32
2026.08.14	4353.17	4396.92	4310.33	4376.00	102886	0	32
2026.08.17	4379.93	4428.86	4367.18	4416.64	105774	0	32
2026.08.18	4418.09	4436.07	4329.18	4334.27	108393	0	32
2026.08.19	4336.75	4524.26	4324.68	4522.93	118621	0	32
2026.08.20	4525.52	4540.64	4450.47	4519.02	120107	0	32
2026.08.21	4520.54	4632.19	4508.64	4604.52	117547	0	32
2026.08.24	4624.56	4680.57	4595.04	4651.62	128183	0	32
2026.08.25	4655.28	4696.45	4605.20	4658.58	122236	0	32
2026.08.26	4660.21	4673.49	4582.98	4594.40	114729	0	32
2026.08.27	4605.05	4642.86	4565.79	4601.54	116004	0	32
2026.08.28	4607.44	4631.90	4445.34	4454.27	121039	0	32
2026.08.31	4437.58	4471.76	4396.30	4448.91	120026	0	32
2026.09.01	4449.96	4461.24	4322.85	4327.98	122742	0	32
2026.09.02	4334.10	4397.53	4282.40	4387.86	122086	0	32
2026.09.03	4391.06	4510.58	4380.98	4472.88	120213	0	32
2026.09.04	4474.32	4490.48	4365.49	4430.80	110508	0	32
2026.09.07	4422.33	4434.95	4380.97	4406.01	86627	0	13
2026.09.08	4413.41	4442.74	4345.71	4355.18	111778	0	32
2026.09.09	4354.98	4433.87	4341.18	4401.45	106973	0	32
2026.09.10	4404.47	4434.01	4313.60	4316.35	116307	0	32
2026.09.11	4322.27	4402.29	4292.11	4348.32	117218	0	32
2026.09.14	4336.49	4355.06	4253.43	4298.51	114445	0	32
2026.09.15	4299.91	4317.17	4261.17	4293.90	109021	0	32
2026.09.16	4295.50	4366.92	4235.07	4263.87	113287	0	32
2026.09.17	4262.46	4381.06	4257.37	4341.63	115312	0	32
2026.09.18	4344.31	4399.53	4334.35	4378.12	110349	0	32
2026.09.21	4375.96	4383.13	4322.54	4343.36	110124	0	32
2026.09.22	4348.27	4375.85	4291.34	4358.20	120255	0	32
2026.09.23	4360.99	4369.04	4274.66	4287.06	108920	0	32
2026.09.24	4289.99	4302.89	4244.07	4273.63	121689	0	32
